Name,State,Population
Hood County,Texas,61643
Hopkins County,Texas,37084
Houston County,Texas,22968
Howard County,Texas,36664
Hudspeth County,Texas,4886
Hunt County,Texas,98594
Hutchinson County,Texas,20938
Irion County,Texas,1536
Jack County,Texas,8935
Jackson County,Texas,14760
Jasper County,Texas,35529
Jeff Davis County,Texas,2274
Jefferson County,Texas,251565
Jim Hogg County,Texas,5200
Jim Wells County,Texas,40482
Johnson County,Texas,175817
Jones County,Texas,20083
Karnes County,Texas,15601
Kaufman County,Texas,136154
Kendall County,Texas,47431
Kenedy County,Texas,404
Kent County,Texas,762
Kerr County,Texas,52600
Kimble County,Texas,4337
King County,Texas,272
Kinney County,Texas,3667
Kleberg County,Texas,30680
Knox County,Texas,3664
La Salle County,Texas,7520
Lamar County,Texas,49859
Lamb County,Texas,12893
Lampasas County,Texas,21428
Lavaca County,Texas,20154
Lee County,Texas,17239
Leon County,Texas,17404
Liberty County,Texas,88219
Limestone County,Texas,23437
Lipscomb County,Texas,3233
Live Oak County,Texas,12207
Llano County,Texas,21795
Loving County,Texas,169
Lubbock County,Texas,310569
Lynn County,Texas,5951
Madison County,Texas,14284
Marion County,Texas,9854
Martin County,Texas,5771
Mason County,Texas,4274
Matagorda County,Texas,36643
Maverick County,Texas,58722
McCulloch County,Texas,7984
McLennan County,Texas,256623
McMullen County,Texas,743
Medina County,Texas,51584
Menard County,Texas,2138
Midland County,Texas,176832
Milam County,Texas,24823
Mills County,Texas,4873
Mitchell County,Texas,8545
Montague County,Texas,19818
Montgomery County,Texas,607391
Moore County,Texas,20940
Morris County,Texas,12388
Motley County,Texas,1200
Nacogdoches County,Texas,65204
Navarro County,Texas,50113
Newton County,Texas,13595
Nolan County,Texas,14714
Nueces County,Texas,362294
Ochiltree County,Texas,9836
Oldham County,Texas,2112
Orange County,Texas,83396
Palo Pinto County,Texas,29189
Panola County,Texas,23194
Parker County,Texas,142878
Parmer County,Texas,9605
Pecos County,Texas,15823
Polk County,Texas,51353
Potter County,Texas,117415
Presidio County,Texas,6704
Rains County,Texas,12514
Randall County,Texas,137713
Reagan County,Texas,3849
Real County,Texas,3452
Red River County,Texas,12023
Reeves County,Texas,15976
Refugio County,Texas,6948
Roberts County,Texas,854
Robertson County,Texas,17074
Rockwall County,Texas,104915
Runnels County,Texas,10264
Rusk County,Texas,54406
Sabine County,Texas,10542
San Augustine County,Texas,8237
San Jacinto County,Texas,28859
San Patricio County,Texas,66730
San Saba County,Texas,6055
Schleicher County,Texas,2793
Scurry County,Texas,16703
Shackelford County,Texas,3265
Shelby County,Texas,25274
Sherman County,Texas,3022
Smith County,Texas,232751
Somervell County,Texas,9128
Starr County,Texas,64633
Stephens County,Texas,9366
Sterling County,Texas,1291
Stonewall County,Texas,1350
Sutton County,Texas,3776
Swisher County,Texas,7397
Tarrant County,Texas,2102515
Taylor County,Texas,138034
Terrell County,Texas,776
Terry County,Texas,12337
Throckmorton County,Texas,1501
Titus County,Texas,32750
Tom Green County,Texas,119200
Travis County,Texas,1273954
Trinity County,Texas,14651
Tyler County,Texas,21672
Upshur County,Texas,41753
Upton County,Texas,3657
Uvalde County,Texas,26741
Val Verde County,Texas,49025
Van Zandt County,Texas,56590
Victoria County,Texas,92084
Walker County,Texas,72971
Waller County,Texas,55246
Ward County,Texas,11998
Washington County,Texas,35882
Webb County,Texas,276652
Wharton County,Texas,41556
Wheeler County,Texas,5056
Wichita County,Texas,132230
Wilbarger County,Texas,12769
Willacy County,Texas,21358
Williamson County,Texas,590551
Wilson County,Texas,51070
Winkler County,Texas,8010
Wise County,Texas,69984
Wood County,Texas,45539
Yoakum County,Texas,8713
Young County,Texas,18010
Zapata County,Texas,14179
Zavala County,Texas,11840
Beaver County,Utah,6710
Box Elder County,Utah,56046
Cache County,Utah,128289
Carbon County,Utah,20463
Daggett County,Utah,950
Davis County,Utah,355481
Duchesne County,Utah,19938
Emery County,Utah,10012
Garfield County,Utah,5051
Grand County,Utah,9754
Iron County,Utah,54839
Juab County,Utah,12017
Kane County,Utah,7886
Millard County,Utah,13188
Morgan County,Utah,12124
Piute County,Utah,1479
Rich County,Utah,2483
Salt Lake County,Utah,1160437
San Juan County,Utah,15308
Sanpete County,Utah,30939
Sevier County,Utah,21620
Summit County,Utah,42145
Tooele County,Utah,72259
Uintah County,Utah,35734
Utah County,Utah,636235
Wasatch County,Utah,34091
Washington County,Utah,177556
Wayne County,Utah,2711
Weber County,Utah,260213
Addison County,Vermont,36777
Bennington County,Vermont,35470
Caledonia County,Vermont,29993
Chittenden County,Vermont,163774
Essex County,Vermont,6163
Franklin County,Vermont,49402
Grand Isle County,Vermont,7235
Lamoille County,Vermont,25362
Orange County,Vermont,28892
Orleans County,Vermont,27037
Rutland County,Vermont,58191
Washington County,Vermont,58409
Windham County,Vermont,42222
Windsor County,Vermont,55062
Accomack County,Virginia,32316
Albemarle County,Virginia,109330
Alexandria city,Virginia,159428
Alleghany County,Virginia,14860
Amelia County,Virginia,13145
Amherst County,Virginia,31605
Appomattox County,Virginia,15911
Arlington County,Virginia,236842
Augusta County,Virginia,75558
Bath County,Virginia,4147
Bedford County,Virginia,78997
Bland County,Virginia,6280
Botetourt County,Virginia,33419
Bristol city,Virginia,16762
Brunswick County,Virginia,16231
Buchanan County,Virginia,21004
Buckingham County,Virginia,17148
Buena Vista city,Virginia,6478
Campbell County,Virginia,54885
Caroline County,Virginia,30725
Carroll County,Virginia,29791
Charles City County,Virginia,6963
Charlotte County,Virginia,11880
Charlottesville city,Virginia,47266
Chesapeake city,Virginia,244835
Chesterfield County,Virginia,352802
Clarke County,Virginia,14619
Colonial Heights city,Virginia,17370
Covington city,Virginia,5538
Craig County,Virginia,5131
Culpeper County,Virginia,52605
Cumberland County,Virginia,9932
Danville city,Virginia,40044
Dickenson County,Virginia,14318
Dinwiddie County,Virginia,28544
Emporia city,Virginia,5346
Essex County,Virginia,10953
Fairfax city,Virginia,24019
Fairfax County,Virginia,1147532
Falls Church city,Virginia,14617
Fauquier County,Virginia,71222
Floyd County,Virginia,15749
Fluvanna County,Virginia,27270
Franklin city,Virginia,7967
Franklin County,Virginia,56042
Frederick County,Virginia,89313
Fredericksburg city,Virginia,29036
Galax city,Virginia,6347
Giles County,Virginia,16720
Gloucester County,Virginia,37348
Goochland County,Virginia,23753
Grayson County,Virginia,15550
Greene County,Virginia,19819
Greensville County,Virginia,11336
Halifax County,Virginia,33911
Hampton city,Virginia,134510
Hanover County,Virginia,107766
Harrisonburg city,Virginia,53016
Henrico County,Virginia,330818
Henry County,Virginia,50557
Highland County,Virginia,2190
Hopewell city,Virginia,22529
Isle of Wight County,Virginia,37109
James City County,Virginia,76523
King and Queen County,Virginia,7025
King George County,Virginia,26836
King William County,Virginia,17148
Lancaster County,Virginia,10603
Lee County,Virginia,23423
Lexington city,Virginia,7446
Loudoun County,Virginia,413538
Louisa County,Virginia,37591
Lunenburg County,Virginia,12196
Lynchburg city,Virginia,82168
Madison County,Virginia,13261
Manassas city,Virginia,41085
Manassas Park city,Virginia,17478
Martinsville city,Virginia,12554
Mathews County,Virginia,8834
Mecklenburg County,Virginia,30587
Middlesex County,Virginia,10582
Montgomery County,Virginia,98535
Nelson County,Virginia,14930
New Kent County,Virginia,23091
Newport News city,Virginia,179225
Norfolk city,Virginia,242742
Northampton County,Virginia,11710
Northumberland County,Virginia,12095
Norton city,Virginia,3981
Nottoway County,Virginia,15232
Orange County,Virginia,37051
Page County,Virginia,23902
Patrick County,Virginia,17608
Petersburg city,Virginia,31346
Pittsylvania County,Virginia,60354
Poquoson city,Virginia,12271
Portsmouth city,Virginia,94398
Powhatan County,Virginia,29652
Prince Edward County,Virginia,22802
Prince George County,Virginia,38353
Prince William County,Virginia,470335
Pulaski County,Virginia,34027
Radford city,Virginia,18249
Rappahannock County,Virginia,7370
Richmond city,Virginia,230436
Richmond County,Virginia,9023
Roanoke city,Virginia,99143
Roanoke County,Virginia,94186
Rockbridge County,Virginia,22573
Rockingham County,Virginia,81948
Russell County,Virginia,26586
Salem city,Virginia,25301
Scott County,Virginia,21566
Shenandoah County,Virginia,43616
Smyth County,Virginia,30104
Southampton County,Virginia,17631
Spotsylvania County,Virginia,136215
Stafford County,Virginia,152882
Staunton city,Virginia,24932
Suffolk city,Virginia,92108
Surry County,Virginia,6422
Sussex County,Virginia,11159
Tazewell County,Virginia,40595
Virginia Beach city,Virginia,449974
Warren County,Virginia,40164
Washington County,Virginia,53740
Waynesboro city,Virginia,22630
Westmoreland County,Virginia,18015
Williamsburg city,Virginia,14954
Winchester city,Virginia,28078
Wise County,Virginia,37383
Wythe County,Virginia,28684
York County,Virginia,68280
Adams County,Washington,19983
Asotin County,Washington,22582
Benton County,Washington,204390
Chelan County,Washington,77200
Clallam County,Washington,77331
Clark County,Washington,488241
Columbia County,Washington,3985
Cowlitz County,Washington,110593
Douglas County,Washington,43429
Ferry County,Washington,7627
Franklin County,Washington,95222
Garfield County,Washington,2225
Grant County,Washington,97733
Grays Harbor County,Washington,75061
Island County,Washington,85141
Jefferson County,Washington,32221
King County,Washington,2252782
Kitsap County,Washington,271473
Kittitas County,Washington,47935
Klickitat County,Washington,22425
Lewis County,Washington,80707
Lincoln County,Washington,10939
Mason County,Washington,66768
Okanogan County,Washington,42243
Pacific County,Washington,22471
Pend Oreille County,Washington,13724
Pierce County,Washington,904980
San Juan County,Washington,17582
Skagit County,Washington,129205
Skamania County,Washington,12083
Snohomish County,Washington,822083
Spokane County,Washington,522798
Stevens County,Washington,45723
Thurston County,Washington,290536
Wahkiakum County,Washington,4488
Walla Walla County,Washington,60760
Whatcom County,Washington,229247
Whitman County,Washington,50104
Yakima County,Washington,250873
Barbour County,West Virginia,16441
Berkeley County,West Virginia,119171
Boone County,West Virginia,21457
Braxton County,West Virginia,13957
Brooke County,West Virginia,21939
Cabell County,West Virginia,91945
Calhoun County,West Virginia,7109
Clay County,West Virginia,8508
Doddridge County,West Virginia,8448
Fayette County,West Virginia,42406
Gilmer County,West Virginia,7823
Grant County,West Virginia,11568
Greenbrier County,West Virginia,34662
Hampshire County,West Virginia,23175
Hancock County,West Virginia,28810
Hardy County,West Virginia,13776
Harrison County,West Virginia,67256
Jackson County,West Virginia,28576
Jefferson County,West Virginia,57146
Kanawha County,West Virginia,178124
Lewis County,West Virginia,15907
Lincoln County,West Virginia,20409
Logan County,West Virginia,32019
Marion County,West Virginia,56072
Marshall County,West Virginia,30531
Mason County,West Virginia,26516
McDowell County,West Virginia,17624
Mercer County,West Virginia,58758
Mineral County,West Virginia,26868
Mingo County,West Virginia,23424
Monongalia County,West Virginia,105612
Monroe County,West Virginia,13275
Morgan County,West Virginia,17884
Nicholas County,West Virginia,24496
Ohio County,West Virginia,41411
Pendleton County,West Virginia,6969
Pleasants County,West Virginia,7460
Pocahontas County,West Virginia,8247
Preston County,West Virginia,33432
Putnam County,West Virginia,56450
Raleigh County,West Virginia,73361
Randolph County,West Virginia,28695
Ritchie County,West Virginia,9554
Roane County,West Virginia,13688
Summers County,West Virginia,12573
Taylor County,West Virginia,16695
Tucker County,West Virginia,6839
Tyler County,West Virginia,8591
Upshur County,West Virginia,24176
Wayne County,West Virginia,39402
Webster County,West Virginia,8114
Wetzel County,West Virginia,15065
Wirt County,West Virginia,5821
Wood County,West Virginia,83518
Wyoming County,West Virginia,20394
Adams County,Wisconsin,20220
Ashland County,Wisconsin,15562
Barron County,Wisconsin,45244
Bayfield County,Wisconsin,15036
Brown County,Wisconsin,264542
Buffalo County,Wisconsin,13031
Burnett County,Wisconsin,15414
Calumet County,Wisconsin,50089
Chippewa County,Wisconsin,64658
Clark County,Wisconsin,34774
Columbia County,Wisconsin,57532
Crawford County,Wisconsin,16131
Dane County,Wisconsin,546695
Dodge County,Wisconsin,87839
Door County,Wisconsin,27668
Douglas County,Wisconsin,43150
Dunn County,Wisconsin,45368
Eau Claire County,Wisconsin,104646
Florence County,Wisconsin,4295
Fond du Lac County,Wisconsin,103403
Forest County,Wisconsin,9004
Grant County,Wisconsin,51439
Green County,Wisconsin,36960
Green Lake County,Wisconsin,18913
Iowa County,Wisconsin,23678
Iron County,Wisconsin,5687
Jackson County,Wisconsin,20643
Jefferson County,Wisconsin,84769
Juneau County,Wisconsin,26687
Kenosha County,Wisconsin,169561
Kewaunee County,Wisconsin,20434
La Crosse County,Wisconsin,118016
Lafayette County,Wisconsin,16665
Langlade County,Wisconsin,19189
Lincoln County,Wisconsin,27593
Manitowoc County,Wisconsin,78981
Marathon County,Wisconsin,135692
Marinette County,Wisconsin,40350
Marquette County,Wisconsin,15574
Menominee County,Wisconsin,4556
Milwaukee County,Wisconsin,945726
Monroe County,Wisconsin,46253
Oconto County,Wisconsin,37930
Oneida County,Wisconsin,35595
Outagamie County,Wisconsin,187885
Ozaukee County,Wisconsin,89221
Pepin County,Wisconsin,7287
Pierce County,Wisconsin,42754
Polk County,Wisconsin,43783
Portage County,Wisconsin,70772
Price County,Wisconsin,13351
Racine County,Wisconsin,196311
Richland County,Wisconsin,17252
Rock County,Wisconsin,163354
Rusk County,Wisconsin,14178
Sauk County,Wisconsin,64442
Sawyer County,Wisconsin,16558
Shawano County,Wisconsin,40899
Sheboygan County,Wisconsin,115340
St. Croix County,Wisconsin,90687
Taylor County,Wisconsin,20343
Trempealeau County,Wisconsin,29649
Vernon County,Wisconsin,30822
Vilas County,Wisconsin,22195
Walworth County,Wisconsin,103868
Washburn County,Wisconsin,15720
Washington County,Wisconsin,136034
Waukesha County,Wisconsin,404198
Waupaca County,Wisconsin,50990
Waushara County,Wisconsin,24443
Winnebago County,Wisconsin,171907
Wood County,Wisconsin,72999
Albany County,Wyoming,38880
Big Horn County,Wyoming,11790
Campbell County,Wyoming,46341
Carbon County,Wyoming,14800
Converse County,Wyoming,13822
Crook County,Wyoming,7584
Fremont County,Wyoming,39261
Goshen County,Wyoming,13211
Hot Springs County,Wyoming,4413
Johnson County,Wyoming,8445
Laramie County,Wyoming,99500
Lincoln County,Wyoming,19830
Natrona County,Wyoming,79858
Niobrara County,Wyoming,2356
Park County,Wyoming,29194
Platte County,Wyoming,8393
Sheridan County,Wyoming,30485
Sublette County,Wyoming,9831
Sweetwater County,Wyoming,42343
Teton County,Wyoming,23464
Uinta County,Wyoming,20226
Washakie County,Wyoming,7805
Weston County,Wyoming,6927
